ptnum,Rout,Cd_x,Cd_y,Cd_z,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
95,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9694491028785706,-0.4858381748199463,3.665191173553467,-0.9854294657707214,0.0,-0.5689376592636108,0.699999988079071,0.07840008288621902,0.0,-0.13576911389827728
96,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9654066562652588,-0.48988062143325806,3.665191173553467,-0.9894210696220398,0.0,-0.5712422132492065,0.699999988079071,0.07721111923456192,0.0,-0.1337120085954666
97,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9613804221153259,-0.4939068555831909,3.665191173553467,-0.9934127926826477,0.0,-0.573546826839447,0.699999988079071,0.07605840265750885,0.0,-0.131713405251503
98,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9573702812194824,-0.4979169964790344,3.665191173553467,-0.9974044561386108,0.0,-0.5758514404296875,0.699999988079071,0.07490327209234238,0.0,-0.129714235663414
99,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9533761739730835,-0.5019111037254333,3.665191173553467,-1.0013961791992188,0.0,-0.578156054019928,0.699999988079071,0.07379515469074249,0.0,-0.12779507040977478
100,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9493979215621948,-0.5058892965316772,3.665191173553467,-1.0053879022598267,0.0,-0.5804606676101685,0.699999988079071,0.07267715781927109,0.0,-0.12586066126823425
101,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.9454355239868164,-0.5098518133163452,3.665191173553467,-1.0093796253204346,0.0,-0.5827652812004089,0.699999988079071,0.07160083204507828,0.0,-0.1239955946803093
102,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9414886832237244,-0.5137985944747925,3.665191173553467,-1.0133713483810425,0.0,-0.5850698947906494,0.699999988079071,0.07051533460617065,0.0,-0.12211533635854721
103,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9375573992729187,-0.5177298784255981,3.665191173553467,-1.0173630714416504,0.0,-0.5873745083808899,0.699999988079071,0.06947465986013412,0.0,-0.12031147629022598
104,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9336415529251099,-0.5216456651687622,3.665191173553467,-1.0213546752929688,0.0,-0.5896791219711304,0.699999988079071,0.06845064461231232,0.0,-0.11853783577680588
105,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9297409653663635,-0.5255463123321533,3.665191173553467,-1.0253463983535767,0.0,-0.5919837355613708,0.699999988079071,0.06744450330734253,0.0,-0.11679233610630035
106,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9258554577827454,-0.5294318199157715,3.665191173553467,-1.0293381214141846,0.0,-0.5942883491516113,0.699999988079071,0.06644377112388611,0.0,-0.11506593972444534
107,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9219850301742554,-0.5333022475242615,3.665191173553467,-1.033329725265503,0.0,-0.596592903137207,0.699999988079071,0.0654614269733429,0.0,-0.11336195468902588
108,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.9181294441223145,-0.5371578931808472,3.665191173553467,-1.0373215675354004,0.0,-0.5988975763320923,0.699999988079071,0.0644959956407547,0.0,-0.11168735474348068
109,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9142888188362122,-0.5409984588623047,3.665191173553467,-1.0413131713867188,0.0,-0.601202130317688,0.699999988079071,0.063552625477314,0.0,-0.11005597561597824
110,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9104626774787903,-0.5448246002197266,3.665191173553467,-1.0453050136566162,0.0,-0.6035068035125732,0.699999988079071,0.06261274963617325,0.0,-0.10843278467655182
111,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.9066513776779175,-0.5486359000205994,3.665191173553467,-1.0492966175079346,0.0,-0.605811357498169,0.699999988079071,0.061695974320173264,0.0,-0.10684249550104141
112,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.9028544425964355,-0.5524328947067261,3.665191173553467,-1.0532883405685425,0.0,-0.6081159710884094,0.699999988079071,0.06078672781586647,0.0,-0.1052657812833786
113,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8990718126296997,-0.5562154650688171,3.665191173553467,-1.0572800636291504,0.0,-0.6104205846786499,0.699999988079071,0.05989028885960579,0.0,-0.10371290147304535
114,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.89530348777771,-0.5599837899208069,3.665191173553467,-1.0612716674804688,0.0,-0.6127251982688904,0.699999988079071,0.05901120603084564,0.0,-0.10219156742095947
115,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.891549289226532,-0.5637379884719849,3.665191173553467,-1.0652633905410767,0.0,-0.6150298118591309,0.699999988079071,0.058146215975284576,0.0,-0.10068715363740921
116,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.887809157371521,-0.5674781799316406,3.665191173553467,-1.0692551136016846,0.0,-0.6173344254493713,0.699999988079071,0.05728895962238312,0.0,-0.09920482337474823
117,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8840829133987427,-0.5712043642997742,3.665191173553467,-1.0732468366622925,0.0,-0.6196390390396118,0.699999988079071,0.05646652728319168,0.0,-0.0977770984172821
118,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8803706169128418,-0.574916660785675,3.665191173553467,-1.0772384405136108,0.0,-0.6219435930252075,0.699999988079071,0.055632658302783966,0.0,-0.09633985161781311
119,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.8766719102859497,-0.5786154270172119,3.665191173553467,-1.0812302827835083,0.0,-0.6242482662200928,0.699999988079071,0.05480180308222771,0.0,-0.09489697962999344
120,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.872986912727356,-0.5823003053665161,3.665191173553467,-1.0852218866348267,0.0,-0.6265528202056885,0.699999988079071,0.05399171635508537,0.0,-0.09349582344293594
