ptnum,Rout,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
145,2.0,0.6931471824645996,0.43805450201034546,-0.25509268045425415,0.0,1.290581226348877,0.0,0.0,1.0,1.651814955039299e-06,0.0,0.18466703593730927
146,2.0,0.6931471824645996,0.43650299310684204,-0.25664418935775757,0.0,1.2925851345062256,0.0,0.0,1.0,1.8486572344045271e-06,0.0,0.18204455077648163
147,2.0,0.6931471824645996,0.4349537789821625,-0.25819340348243713,0.0,1.2945891618728638,0.0,0.0,1.0,9.960692892718725e-08,0.0,0.17944054305553436
148,2.0,0.6931471824645996,0.4334069788455963,-0.2597402036190033,0.0,1.296593189239502,0.0,0.0,1.0,-2.3004457716524485e-07,0.0,0.17687518894672394
149,2.0,0.6931471824645996,0.43186256289482117,-0.26128461956977844,0.0,1.2985972166061401,0.0,0.0,1.0,-3.675970106087334e-08,0.0,0.17432260513305664
150,2.0,0.6931471824645996,0.43032053112983704,-0.2628266513347626,0.0,1.3006012439727783,0.0,0.0,1.0,-1.6138694718392799e-06,0.0,0.17181318998336792
151,2.0,0.6931471824645996,0.4287809729576111,-0.2643662095069885,0.0,1.302605152130127,0.0,0.0,1.0,-1.2474582717914018e-06,0.0,0.16931243240833282
152,2.0,0.6931471824645996,0.4272436797618866,-0.265903502702713,0.0,1.3046091794967651,0.0,0.0,1.0,-8.063418022175028e-08,0.0,0.1668376624584198
153,2.0,0.6931471824645996,0.42570874094963074,-0.26743844151496887,0.0,1.3066132068634033,0.0,0.0,1.0,-1.4193986999089248e-06,0.0,0.16438528895378113
154,2.0,0.6931471824645996,0.4241761565208435,-0.2689710259437561,0.0,1.3086172342300415,0.0,0.0,1.0,1.3861964589523268e-06,0.0,0.16195759177207947
155,2.0,0.6931471824645996,0.4226459264755249,-0.2705012559890747,0.0,1.3106212615966797,0.0,0.0,1.0,-6.936911063348816e-07,0.0,0.1595308631658554
156,2.0,0.6931471824645996,0.42111802101135254,-0.27202916145324707,0.0,1.3126252889633179,0.0,0.0,1.0,-1.0316431797718906e-07,0.0,0.15715500712394714
157,2.0,0.6931471824645996,0.4195924401283264,-0.2735547423362732,0.0,1.314629316329956,0.0,0.0,1.0,3.1423616064785165e-07,0.0,0.15480774641036987
158,2.0,0.6931471824645996,0.4180693030357361,-0.2750778794288635,0.0,1.3166332244873047,0.0,0.0,1.0,2.1937241001523944e-07,0.0,0.15244236588478088
159,2.0,0.6931471824645996,0.41654837131500244,-0.27659881114959717,0.0,1.3186372518539429,0.0,0.0,1.0,2.4427413336525206e-07,0.0,0.15012703835964203
160,2.0,0.6931471824645996,0.41502973437309265,-0.27811744809150696,0.0,1.320641279220581,0.0,0.0,1.0,-1.885416907043691e-07,0.0,0.14781400561332703
161,2.0,0.6931471824645996,0.4135134220123291,-0.2796337604522705,0.0,1.3226453065872192,0.0,0.0,1.0,-9.000197565001145e-07,0.0,0.14552441239356995
162,2.0,0.6931471824645996,0.4119994044303894,-0.2811477780342102,0.0,1.3246493339538574,0.0,0.0,1.0,-2.3941236122482223e-06,0.0,0.14327704906463623
163,2.0,0.6931471824645996,0.4104877710342407,-0.2826594114303589,0.0,1.326653242111206,0.0,0.0,1.0,-1.1537803175087902e-06,0.0,0.14101852476596832
164,2.0,0.6931471824645996,0.4089782238006592,-0.28416895866394043,0.0,1.3286573886871338,0.0,0.0,1.0,1.1265069588262122e-07,0.0,0.13878746330738068
165,2.0,0.6931471824645996,0.4074711501598358,-0.2856760323047638,0.0,1.3306612968444824,0.0,0.0,1.0,1.0150420166610274e-06,0.0,0.13656778633594513
166,2.0,0.6931471824645996,0.40596625208854675,-0.28718093037605286,0.0,1.3326653242111206,0.0,0.0,1.0,-3.806407562478853e-07,0.0,0.1343613862991333
167,2.0,0.6931471824645996,0.40446358919143677,-0.28868359327316284,0.0,1.3346693515777588,0.0,0.0,1.0,-9.521947959001409e-07,0.0,0.13220492005348206
168,2.0,0.6931471824645996,0.40296322107315063,-0.290183961391449,0.0,1.336673378944397,0.0,0.0,1.0,1.5356068843175308e-06,0.0,0.1300397664308548
169,2.0,0.6931471824645996,0.4014650583267212,-0.2916821241378784,0.0,1.3386774063110352,0.0,0.0,1.0,-9.284788689001289e-07,0.0,0.12789703905582428
170,2.0,0.6931471824645996,0.3999692499637604,-0.29317793250083923,0.0,1.3406813144683838,0.0,0.0,1.0,-2.3407628759741783e-06,0.0,0.1257597655057907
171,2.0,0.6931471824645996,0.3984755873680115,-0.29467159509658813,0.0,1.342685341835022,0.0,0.0,1.0,-1.0280857623001793e-06,0.0,0.12364356964826584
172,2.0,0.6931471824645996,0.39698415994644165,-0.29616302251815796,0.0,1.3446893692016602,0.0,0.0,1.0,2.0514283960437751e-07,0.0,0.12154697626829147
