ptnum,bary_x,bary_y,bary_z,Cd_x,Cd_y,Cd_z,Rout,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
318,0.387675017118454,0.34559690952301025,0.26672807335853577,1.0,0.0,0.0,3.0,312,0.0,2.165731430053711,0.0,-6.354516468576321e-09,-0.0009495365666225553,0.0,-0.056424643844366074,0.699999988079071,1.0
319,0.3646707534790039,0.3696262538433075,0.2657029628753662,1.0,0.0,0.0,3.0,312,0.0,2.1703405380249023,0.0,-2.2442021574420323e-09,-0.0008204543264582753,0.0,-0.05712646618485451,0.699999988079071,1.0
320,0.34166547656059265,0.39365676045417786,0.2646777927875519,1.0,0.0,0.0,3.0,312,0.0,2.174949884414673,0.0,-2.122735320853053e-11,-0.0007086987607181072,0.0,-0.05785105377435684,0.699999988079071,1.0
321,0.31866124272346497,0.4176861047744751,0.26365265250205994,1.0,0.0,0.0,3.0,312,0.0,2.1795589923858643,0.0,-1.524747883507871e-09,-0.0006142801139503717,0.0,-0.05859832465648651,0.699999988079071,1.0
322,0.29565587639808655,0.44171664118766785,0.2626274526119232,1.0,0.0,0.0,3.0,312,0.0,2.1841683387756348,0.0,-4.676111942103489e-09,-0.0005371894221752882,0.0,-0.05936836078763008,0.699999988079071,1.0
323,0.2726517617702484,0.4657458961009979,0.2616023123264313,1.0,0.0,0.0,3.0,312,0.0,2.188777446746826,0.0,-6.898119409015635e-09,-0.00047743465984240174,0.0,-0.060161080211400986,0.699999988079071,1.0
324,0.24964642524719238,0.4897764325141907,0.26057714223861694,1.0,0.0,0.0,3.0,312,0.0,2.1933867931365967,0.0,-4.435649181289136e-09,-0.000435009365901351,0.0,-0.060976576060056686,0.699999988079071,1.0
325,0.2266421616077423,0.5138058066368103,0.2595520317554474,1.0,0.0,0.0,3.0,312,0.0,2.197995901107788,0.0,-8.583911359494323e-11,-0.0004099178477190435,0.0,-0.06181475147604942,0.699999988079071,1.0
326,0.20363685488700867,0.5378363132476807,0.25852683186531067,1.0,0.0,0.0,3.0,312,0.0,2.2026052474975586,0.0,-3.4766989287504657e-09,-0.0004021578060928732,0.0,-0.06267569214105606,0.699999988079071,1.0
327,0.18063274025917053,0.5618655681610107,0.2575016915798187,1.0,0.0,0.0,3.0,312,0.0,2.20721435546875,0.0,-5.698706395662612e-09,-0.00041172985220327973,0.0,-0.06355931609869003,0.699999988079071,1.0
