ptnum,bary_x,bary_y,bary_z,Rout,faceid,theta,P_x,P_y,P_z,Rin,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,gamma
333,0.3858073353767395,0.11292374134063721,0.5012689232826233,2.0,419,0.0,1.6673346757888794,0.0,-3.1209954620692315e-09,1.0,0.004308972042053938,0.0,-0.11124926060438156,1.0
334,0.398697167634964,0.12650835514068604,0.47479447722435,2.0,419,0.0,1.6693387031555176,0.0,-2.8349913527847548e-09,1.0,0.00323052448220551,0.0,-0.11504964530467987,1.0
335,0.4115862548351288,0.1400921642780304,0.4483216106891632,2.0,419,0.0,1.6713426113128662,0.0,-1.9167774034656304e-09,1.0,0.0021769318263977766,0.0,-0.11919201910495758,1.0
336,0.42447686195373535,0.1536775827407837,0.42184555530548096,2.0,419,0.0,1.673346757888794,0.0,-3.922773217368558e-09,1.0,0.001148007228039205,0.0,-0.12367711961269379,1.0
337,0.43736594915390015,0.16726139187812805,0.3953726887702942,2.0,419,0.0,1.6753506660461426,0.0,-3.004558823960224e-09,1.0,0.00014399744395632297,0.0,-0.1285039186477661,1.0
338,0.450255811214447,0.18084600567817688,0.3688982129096985,2.0,419,0.0,1.6773546934127808,0.0,-4.378344353739294e-09,1.0,-0.0008352809236384928,0.0,-0.13367320597171783,1.0
339,0.4631456136703491,0.1944306343793869,0.3424237370491028,2.0,419,0.0,1.679358720779419,0.0,-4.134784958864657e-09,1.0,-0.0017897646175697446,0.0,-0.13918471336364746,1.0
340,0.4760354459285736,0.20801524817943573,0.31594929099082947,2.0,419,0.0,1.6813627481460571,0.0,-3.84878084958018e-09,1.0,-0.0027194551657885313,0.0,-0.1450384557247162,1.0
341,0.4889252781867981,0.22159986197948456,0.28947484493255615,2.0,419,0.0,1.6833667755126953,0.0,-3.562777184384913e-09,1.0,-0.0036243528593331575,0.0,-0.15123441815376282,1.0
342,0.5018143653869629,0.23518367111682892,0.263001948595047,2.0,419,0.0,1.685370683670044,0.0,-4.304352430040126e-09,1.0,-0.004504406824707985,0.0,-0.1577722281217575,1.0
343,0.5147049427032471,0.2487691044807434,0.23652592301368713,2.0,419,0.0,1.6873748302459717,0.0,-3.033213680225799e-09,1.0,-0.005359768867492676,0.0,-0.16465304791927338,1.0
344,0.5275940299034119,0.26235291361808777,0.21005304157733917,2.0,419,0.0,1.6893787384033203,0.0,-2.9448943283938434e-09,1.0,-0.006190239917486906,0.0,-0.17187528312206268,1.0
345,0.540483832359314,0.2759375274181366,0.18357859551906586,2.0,419,0.0,1.6913827657699585,0.0,-2.6588904411539716e-09,1.0,-0.006995965261012316,0.0,-0.17944014072418213,1.0
346,0.5533736944198608,0.2895221412181854,0.15710411965847015,2.0,419,0.0,1.6933867931365967,0.0,-4.032675970933042e-09,1.0,-0.007776900660246611,0.0,-0.18734723329544067,1.0
347,0.5662628412246704,0.3031059503555298,0.1306312382221222,2.0,419,0.0,1.6953907012939453,0.0,-3.944356397056481e-09,1.0,-0.008533001877367496,0.0,-0.1955960988998413,1.0
348,0.5791534185409546,0.3166913688182831,0.10415520519018173,2.0,419,0.0,1.697394847869873,0.0,-4.7055102037063534e-09,1.0,-0.009264392778277397,0.0,-0.20418813824653625,1.0
349,0.5920425057411194,0.33027517795562744,0.07768232375383377,2.0,419,0.0,1.6993987560272217,0.0,-4.617190629829793e-09,1.0,-0.009970907121896744,0.0,-0.21312138438224792,1.0
350,0.6049330830574036,0.34386059641838074,0.05120628699660301,2.0,419,0.0,1.7014029026031494,0.0,-5.585818030340306e-09,1.0,-0.010652708820998669,0.0,-0.22239792346954346,1.0
351,0.6178221702575684,0.3574444353580475,0.0247334036976099,2.0,419,0.0,1.703406810760498,0.0,-2.3665454040866507e-09,1.0,-0.011309639550745487,0.0,-0.23201560974121094,1.0
352,0.0013924241065979004,0.36948952078819275,0.629118025302887,2.0,1131,0.0,1.7054108381271362,0.0,6.289604392861747e-10,1.0,-0.011891603469848633,0.0,-0.2413100302219391,1.0
353,0.02256566286087036,0.35966381430625916,0.6177704930305481,2.0,1131,0.0,1.7074148654937744,0.0,2.5375148648976165e-09,1.0,-0.011746186763048172,0.0,-0.24136531352996826,1.0
354,0.043737709522247314,0.34983864426612854,0.6064236760139465,2.0,1131,0.0,1.709418773651123,0.0,-3.757557875960771e-10,1.0,-0.01159603614360094,0.0,-0.24153749644756317,1.0
355,0.06491219997406006,0.3400123417377472,0.5950754880905151,2.0,1131,0.0,1.7114229202270508,0.0,-1.1475639882796429e-10,1.0,-0.011441115289926529,0.0,-0.24182656407356262,1.0
356,0.08608412742614746,0.33018723130226135,0.5837286710739136,2.0,1131,0.0,1.7134268283843994,0.0,4.3915085456980307e-10,1.0,-0.011281464248895645,0.0,-0.24223250150680542,1.0
357,0.10725730657577515,0.32036152482032776,0.5723811984062195,2.0,1131,0.0,1.7154308557510376,0.0,-6.544969011201829e-10,1.0,-0.0111170569434762,0.0,-0.24275533854961395,1.0
358,0.1284305453300476,0.31053581833839417,0.5610336661338806,2.0,1131,0.0,1.7174348831176758,0.0,1.2540575244912588e-09,1.0,-0.010947898030281067,0.0,-0.24339507520198822,1.0
359,0.14960378408432007,0.30071011185646057,0.5496861338615417,2.0,1131,0.0,1.719438910484314,0.0,3.1626119501027006e-09,1.0,-0.01077399030327797,0.0,-0.24415171146392822,1.0
360,0.17077696323394775,0.290884405374527,0.5383386611938477,2.0,1131,0.0,1.7214429378509521,0.0,2.0689641111459878e-09,1.0,-0.010595337487757206,0.0,-0.24502523243427277,1.0
361,0.19194889068603516,0.28105926513671875,0.5269918441772461,2.0,1131,0.0,1.7234468460083008,0.0,8.892824254758125e-10,1.0,-0.010411947034299374,0.0,-0.24601556360721588,1.0
362,0.2131233811378479,0.2712329626083374,0.5156436562538147,2.0,1131,0.0,1.7254509925842285,0.0,1.1502818697550765e-09,1.0,-0.010223784483969212,0.0,-0.24712292850017548,1.0
363,0.2342953085899353,0.2614078223705292,0.5042968392372131,2.0,1131,0.0,1.7274549007415771,0.0,-2.939989918182562e-11,1.0,-0.010030897334218025,0.0,-0.24834704399108887,1.0
364,0.25546854734420776,0.2515821158885956,0.49294930696487427,2.0,1131,0.0,1.7294589281082153,0.0,1.879154609696343e-09,1.0,-0.009833247400820255,0.0,-0.24968813359737396,1.0
365,0.2766418159008026,0.2417563796043396,0.4816018044948578,2.0,1131,0.0,1.7314629554748535,0.0,5.530188529334623e-10,1.0,-0.00963085237890482,0.0,-0.251146137714386,1.0
366,0.29781374335289,0.23193126916885376,0.4702549874782562,2.0,1131,0.0,1.7334668636322021,0.0,1.1069261063312297e-09,1.0,-0.009423719719052315,0.0,-0.2527208924293518,1.0
367,0.31898820400238037,0.2221049666404724,0.4589068293571472,2.0,1131,0.0,1.7354710102081299,0.0,-1.3317558167358357e-10,1.0,-0.00921181496232748,0.0,-0.25441277027130127,1.0
368,0.34016016125679016,0.21227984130382538,0.44755998253822327,2.0,1131,0.0,1.7374749183654785,0.0,1.0550382789631385e-09,1.0,-0.008995183743536472,0.0,-0.25622129440307617,1.0
369,0.3613334596157074,0.2024541050195694,0.4362124502658844,2.0,1131,0.0,1.7394789457321167,0.0,1.2300037655066376e-09,1.0,-0.00877379346638918,0.0,-0.25814688205718994,1.0
370,0.3825066387653351,0.1926283985376358,0.4248649775981903,2.0,1131,0.0,1.7414829730987549,0.0,1.363559681832882e-10,1.0,-0.008547655306756496,0.0,-0.26018932461738586,1.0
371,0.40367987751960754,0.1828026920557022,0.41351744532585144,2.0,1131,0.0,1.743487000465393,0.0,2.044910463183669e-09,1.0,-0.0083167664706707,0.0,-0.26234865188598633,1.0
372,0.42485305666923523,0.17297698557376862,0.40216997265815735,2.0,1131,0.0,1.7454910278320312,0.0,9.512626242269562e-10,1.0,-0.008081131614744663,0.0,-0.26462486386299133,1.0
373,0.446025013923645,0.1631518304347992,0.3908231258392334,2.0,1131,0.0,1.7474949359893799,0.0,4.0588751804016e-10,1.0,-0.007840761914849281,0.0,-0.26701781153678894,1.0
374,0.4671994745731354,0.15332555770874023,0.3794749677181244,2.0,1131,0.0,1.7494990825653076,0.0,8.99374796858865e-10,1.0,-0.00759561313316226,0.0,-0.26952800154685974,1.0
375,0.4883714020252228,0.143500417470932,0.3681281507015228,2.0,1131,0.0,1.7515029907226562,0.0,-2.803069443224615e-10,1.0,-0.007345747668296099,0.0,-0.27215471863746643,1.0
376,0.5095446109771729,0.1336747109889984,0.35678064823150635,2.0,1131,0.0,1.7535070180892944,0.0,1.2714637676047857e-10,1.0,-0.007091117557138205,0.0,-0.274898499250412,1.0
377,0.5307178497314453,0.12384899705648422,0.34543314576148987,2.0,1131,0.0,1.7555110454559326,0.0,1.0120245613753909e-10,1.0,-0.006831739097833633,0.0,-0.2777591943740845,1.0
378,0.5518898367881775,0.114023856818676,0.3340862989425659,2.0,1131,0.0,1.7575149536132812,0.0,4.2262185417918374e-10,1.0,-0.006567627191543579,0.0,-0.2807365953922272,1.0
379,0.5730643272399902,0.10419755429029465,0.3227381110191345,2.0,1131,0.0,1.759519100189209,0.0,6.836212151917209e-10,1.0,-0.006298735272139311,0.0,-0.28383126854896545,1.0
380,0.5942362546920776,0.09437243640422821,0.31139129400253296,2.0,1131,0.0,1.7615230083465576,0.0,8.041312615780782e-10,1.0,-0.006025128066539764,0.0,-0.28704240918159485,1.0
381,0.6154094934463501,0.08454672992229462,0.3000437915325165,2.0,1131,0.0,1.7635270357131958,0.0,1.211584610416594e-09,1.0,-0.005746755283325911,0.0,-0.2903707027435303,1.0
382,0.6365827322006226,0.07472100853919983,0.2886962890625,2.0,1131,0.0,1.765531063079834,0.0,7.522433786988358e-10,1.0,-0.005463634617626667,0.0,-0.29381585121154785,1.0
383,0.657755970954895,0.06489529460668564,0.2773487865924835,2.0,1131,0.0,1.7675350904464722,0.0,7.262994650147903e-10,1.0,-0.005175765138119459,0.0,-0.29737788438796997,1.0
384,0.6789291501045227,0.05506957322359085,0.26600128412246704,2.0,1131,0.0,1.7695391178131104,0.0,2.66958316563759e-10,1.0,-0.004883147776126862,0.0,-0.30105680227279663,1.0
385,0.7001010775566101,0.045244455337524414,0.2546544671058655,2.0,1131,0.0,1.771543025970459,0.0,3.874683351945407e-10,1.0,-0.004585799295455217,0.0,-0.30485236644744873,1.0
386,0.7212755680084229,0.035418152809143066,0.24330627918243408,2.0,1131,0.0,1.7735471725463867,0.0,6.484677239626535e-10,1.0,-0.004283666145056486,0.0,-0.30876532196998596,1.0
