ptnum,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z,P_x,P_y,P_z,id,gamma
35,-0.34968575835227966,0.0,-0.39676761627197266,1.3960204124450684,0.0,-1.2303634881973267,0,1.0
36,-0.34855666756629944,0.0,-0.3977598547935486,1.399511694908142,0.0,-1.2263908386230469,0,1.0
37,-0.34742477536201477,0.0,-0.39874890446662903,1.4029916524887085,0.0,-1.2224082946777344,0,1.0
38,-0.34629005193710327,0.0,-0.3997347354888916,1.406460165977478,0.0,-1.2184158563613892,0,1.0
39,-0.3451525568962097,0.0,-0.4007173180580139,1.4099173545837402,0.0,-1.2144135236740112,0,1.0
40,-0.34401729702949524,0.0,-0.4017028212547302,1.4133632183074951,0.0,-1.2104014158248901,0,1.0
41,-0.34286919236183167,0.0,-0.40267279744148254,1.4167976379394531,0.0,-1.2063795328140259,0,1.0
42,-0.3417283594608307,0.0,-0.4036518335342407,1.4202206134796143,0.0,-1.2023478746414185,0,1.0
43,-0.34057971835136414,0.0,-0.404621422290802,1.4236321449279785,0.0,-1.1983065605163574,0,1.0
44,-0.3394283950328827,0.0,-0.405587762594223,1.4270321130752563,0.0,-1.1942555904388428,0,1.0
45,-0.33826932311058044,0.0,-0.40654462575912476,1.4304206371307373,0.0,-1.1901949644088745,0,1.0
46,-0.3371124863624573,0.0,-0.4075043797492981,1.4337975978851318,0.0,-1.1861246824264526,0,1.0
47,-0.3359529376029968,0.0,-0.4084608554840088,1.43716299533844,0.0,-1.1820448637008667,0,1.0
48,-0.3347929120063782,0.0,-0.40941712260246277,1.440516710281372,0.0,-1.1779555082321167,0,1.0
49,-0.33364343643188477,0.0,-0.4103822410106659,1.4438588619232178,0.0,-1.1738566160202026,0,1.0
50,-0.3324757218360901,0.0,-0.41132882237434387,1.4471893310546875,0.0,-1.1697481870651245,0,1.0
51,-0.3312877416610718,0.0,-0.4122536778450012,1.4505079984664917,0.0,-1.1656303405761719,0,1.0
52,-0.3301147222518921,0.0,-0.41319358348846436,1.45381498336792,0.0,-1.1615030765533447,0,1.0
53,-0.3289389908313751,0.0,-0.41413018107414246,1.4571102857589722,0.0,-1.157366394996643,0,1.0
54,-0.3277606666088104,0.0,-0.41506338119506836,1.4603937864303589,0.0,-1.1532204151153564,0,1.0
55,-0.3265796899795532,0.0,-0.41599321365356445,1.46366548538208,0.0,-1.1490651369094849,0,1.0
56,-0.3253960609436035,0.0,-0.4169197082519531,1.4669253826141357,0.0,-1.1449005603790283,0,1.0
57,-0.3242098093032837,0.0,-0.4178428649902344,1.4701733589172363,0.0,-1.1407268047332764,0,1.0
58,-0.32302093505859375,0.0,-0.4187626242637634,1.4734095335006714,0.0,-1.1365437507629395,0,1.0
59,-0.3218294680118561,0.0,-0.41967901587486267,1.4766337871551514,0.0,-1.1323515176773071,0,1.0
60,-0.32064005732536316,0.0,-0.42059841752052307,1.4798461198806763,0.0,-1.1281501054763794,0,1.0
61,-0.3194386661052704,0.0,-0.4215015769004822,1.483046531677246,0.0,-1.1239396333694458,0,1.0
62,-0.3182394504547119,0.0,-0.42240777611732483,1.4862349033355713,0.0,-1.1197201013565063,0,1.0
63,-0.3170376121997833,0.0,-0.4233105480670929,1.4894112348556519,0.0,-1.115491509437561,0,1.0
64,-0.3158378303050995,0.0,-0.4242163598537445,1.4925756454467773,0.0,-1.1112538576126099,0,1.0
65,-0.3146308958530426,0.0,-0.4251123070716858,1.4957278966903687,0.0,-1.1070072650909424,0,1.0
66,-0.313421368598938,0.0,-0.4260047972202301,1.4988681077957153,0.0,-1.1027517318725586,0,1.0
67,-0.3122093677520752,0.0,-0.4268938899040222,1.5019962787628174,0.0,-1.0984872579574585,0,1.0
68,-0.31099027395248413,0.0,-0.42777296900749207,1.5051122903823853,0.0,-1.0942139625549316,0,1.0
69,-0.3097732663154602,0.0,-0.42865508794784546,1.508216142654419,0.0,-1.089931845664978,0,1.0
70,-0.30855369567871094,0.0,-0.42953380942344666,1.5113078355789185,0.0,-1.0856409072875977,0,1.0
71,-0.3073316216468811,0.0,-0.4304090142250061,1.5143872499465942,0.0,-1.0813411474227905,0,1.0
72,-0.3061071038246155,0.0,-0.43128079175949097,1.5174545049667358,0.0,-1.0770326852798462,0,1.0
73,-0.3048801124095917,0.0,-0.4321490228176117,1.5205094814300537,0.0,-1.0727155208587646,0,1.0
74,-0.30366697907447815,0.0,-0.4330333471298218,1.5235521793365479,0.0,-1.068389654159546,0,1.0
75,-0.30241870880126953,0.0,-0.43387508392333984,1.5265824794769287,0.0,-1.0640552043914795,0,1.0
76,-0.30118635296821594,0.0,-0.43473610281944275,1.5296005010604858,0.0,-1.0597121715545654,0,1.0
77,-0.2999637722969055,0.0,-0.43560677766799927,1.5326062440872192,0.0,-1.0553605556488037,0,1.0
78,-0.2987244725227356,0.0,-0.4364575445652008,1.5355995893478394,0.0,-1.0510003566741943,0,1.0
79,-0.2974667251110077,0.0,-0.43728503584861755,1.5385804176330566,0.0,-1.0466316938400269,0,1.0
80,-0.2962387204170227,0.0,-0.43814852833747864,1.5415489673614502,0.0,-1.0422545671463013,0,1.0
81,-0.29497817158699036,0.0,-0.43897220492362976,1.544505000114441,0.0,-1.0378689765930176,0,1.0
82,-0.2937433123588562,0.0,-0.4398254454135895,1.5474486351013184,0.0,-1.0334750413894653,0,1.0
83,-0.29247811436653137,0.0,-0.4406418800354004,1.5503796339035034,0.0,-1.0290727615356445,0,1.0
84,-0.29122456908226013,0.0,-0.4414713382720947,1.5532981157302856,0.0,-1.0246622562408447,0,1.0
85,-0.28996869921684265,0.0,-0.4422972500324249,1.556204080581665,0.0,-1.0202434062957764,0,1.0
86,-0.28872424364089966,0.0,-0.4431363344192505,1.5590975284576416,0.0,-1.015816330909729,0,1.0
87,-0.28746363520622253,0.0,-0.4439551532268524,1.5619783401489258,0.0,-1.0113810300827026,0,1.0
88,-0.2862006425857544,0.0,-0.4447704255580902,1.5648466348648071,0.0,-1.0069375038146973,0,1.0
89,-0.2849266231060028,0.0,-0.4455673098564148,1.567702293395996,0.0,-1.0024858713150024,0,1.0
90,-0.28366777300834656,0.0,-0.4463900923728943,1.5705451965332031,0.0,-0.9980260133743286,0,1.0
91,-0.28239792585372925,0.0,-0.44719451665878296,1.5733753442764282,0.0,-0.9935582280158997,0,1.0
92,-0.2811257839202881,0.0,-0.4479953348636627,1.576192855834961,0.0,-0.989082396030426,0,1.0
93,-0.2798513174057007,0.0,-0.44879257678985596,1.5789977312088013,0.0,-0.9845985174179077,0,1.0
94,-0.2785746455192566,0.0,-0.4495861232280731,1.5817897319793701,0.0,-0.9801067113876343,0,1.0
95,-0.27729567885398865,0.0,-0.45037609338760376,1.584568977355957,0.0,-0.9756070375442505,0,1.0
96,-0.2760145664215088,0.0,-0.4511623680591583,1.587335467338562,0.0,-0.9710994362831116,0,1.0
97,-0.2747311592102051,0.0,-0.451945036649704,1.5900890827178955,0.0,-0.9665840268135071,0,1.0
98,-0.2734454870223999,0.0,-0.45272406935691833,1.592829942703247,0.0,-0.9620607495307922,0,1.0
99,-0.2721576988697052,0.0,-0.4534994065761566,1.5955578088760376,0.0,-0.9575297832489014,0,1.0
100,-0.27086764574050903,0.0,-0.4542711079120636,1.5982729196548462,0.0,-0.9529910087585449,0,1.0
101,-0.26957541704177856,0.0,-0.4550391435623169,1.6009750366210938,0.0,-0.9484446048736572,0,1.0
102,-0.2682727873325348,0.0,-0.45578840374946594,1.6036642789840698,0.0,-0.9438904523849487,0,1.0
103,-0.2669762670993805,0.0,-0.4565490484237671,1.6063405275344849,0.0,-0.9393287301063538,0,1.0
104,-0.2656776010990143,0.0,-0.45730602741241455,1.6090037822723389,0.0,-0.9347593784332275,0,1.0
105,-0.2643848657608032,0.0,-0.4580744206905365,1.6116540431976318,0.0,-0.9301824569702148,0,1.0
106,-0.263081818819046,0.0,-0.4588240087032318,1.6142913103103638,0.0,-0.9255980253219604,0,1.0
107,-0.2617686986923218,0.0,-0.4595547020435333,1.6169155836105347,0.0,-0.9210061430931091,0,1.0
108,-0.2604614794254303,0.0,-0.4602968394756317,1.619526743888855,0.0,-0.9164068102836609,0,1.0
109,-0.2591601014137268,0.0,-0.46105051040649414,1.6221247911453247,0.0,-0.9118000268936157,0,1.0
110,-0.2578486502170563,0.0,-0.461785227060318,1.6247097253799438,0.0,-0.907185971736908,0,1.0
111,-0.256535142660141,0.0,-0.462516188621521,1.6272815465927124,0.0,-0.9025645852088928,0,1.0
112,-0.2552195191383362,0.0,-0.4632434844970703,1.6298402547836304,0.0,-0.8979358673095703,0,1.0
113,-0.253901869058609,0.0,-0.463966965675354,1.6323857307434082,0.0,-0.89329993724823,0,1.0
114,-0.2525697648525238,0.0,-0.4646688997745514,1.634917974472046,0.0,-0.8886568546295166,0,1.0
115,-0.2512604892253876,0.0,-0.4654027223587036,1.637437105178833,0.0,-0.8840065598487854,0,1.0
116,-0.24993668496608734,0.0,-0.46611499786376953,1.63994300365448,0.0,-0.8793491125106812,0,1.0
