ptnum,id,harmonic_vel_x,harmonic_vel_y,harmonic_vel_z,harmonic_coeff,P_x,P_y,P_z,coexact_vel_x,coexact_vel_y,coexact_vel_z,velocity_x,velocity_y,velocity_z,gamma
1520,0,-0.0024835385847836733,-0.0,0.018749713897705078,-0.10509137809276581,-1.842727541923523,0.0,-0.2451609969139099,-0.062600277364254,0.0,0.363364577293396,-0.0650838166475296,0.0,0.3821142911911011,1.0
1521,0,-0.002526820870116353,-0.0,0.0187841709703207,-0.1052740290760994,-1.8420909643173218,0.0,-0.2489813268184662,-0.059661440551280975,0.0,0.3632245659828186,-0.06218826025724411,0.0,0.38200873136520386,1.0
1522,0,-0.0025695846416056156,-0.0,0.01881401799619198,-0.10543250292539597,-1.841484785079956,0.0,-0.252802312374115,-0.05642900988459587,0.0,0.3634314239025116,-0.05899859219789505,0.0,0.3822454512119293,1.0
1523,0,-0.002611764706671238,-0.0,0.018838752061128616,-0.1055641695857048,-1.8409119844436646,0.0,-0.25662732124328613,-0.05290350317955017,0.0,0.36397093534469604,-0.055515266954898834,0.0,0.38280969858169556,1.0
1524,0,-0.002653370378538966,-0.0,0.018846003338694572,-0.10561919212341309,-1.8403724431991577,0.0,-0.26045963168144226,-0.05091771483421326,0.0,0.36489132046699524,-0.05357108637690544,0.0,0.38373732566833496,1.0
1525,0,-0.0026952035259455442,-0.0,0.018827790394425392,-0.10557232797145844,-1.8398276567459106,0.0,-0.2643038332462311,-0.05268321931362152,0.0,0.36634889245033264,-0.055378422141075134,0.0,0.3851766884326935,1.0
1526,0,-0.002737537957727909,-0.0,0.018811792135238647,-0.10553733259439468,-1.8392647504806519,0.0,-0.268164724111557,-0.05445590615272522,0.0,0.36826613545417786,-0.05719344690442085,0.0,0.3870779275894165,1.0
1527,0,-0.0027804283890873194,-0.0,0.01879791170358658,-0.105513796210289,-1.8386837244033813,0.0,-0.2720469534397125,-0.05623824894428253,0.0,0.3706508278846741,-0.05901867896318436,0.0,0.38944873213768005,1.0
1528,0,-0.0028205998241901398,-0.0,0.018780242651700974,-0.10547365248203278,-1.838090181350708,0.0,-0.2759561836719513,-0.05607433244585991,0.0,0.37380173802375793,-0.05889493227005005,0.0,0.392581969499588,1.0
1529,0,-0.002858725842088461,-0.0,0.01875712163746357,-0.10540700703859329,-1.837506890296936,0.0,-0.279899537563324,-0.05496496334671974,0.0,0.3773576021194458,-0.05782369151711464,0.0,0.396114706993103,1.0
1530,0,-0.0028967908583581448,-0.0,0.018731696531176567,-0.10532860457897186,-1.83693265914917,0.0,-0.2838791012763977,-0.0541873537003994,0.0,0.3810946047306061,-0.05708414316177368,0.0,0.399826318025589,1.0
1531,0,-0.002934873104095459,-0.0,0.01870439015328884,-0.10524068027734756,-1.8363640308380127,0.0,-0.2878967225551605,-0.05375402793288231,0.0,0.3850276470184326,-0.05668890103697777,0.0,0.403732031583786,1.0
1532,0,-0.002973067108541727,-0.0,0.01867569237947464,-0.10514584183692932,-1.835797667503357,0.0,-0.2919544279575348,-0.053678154945373535,0.0,0.3891707956790924,-0.056651219725608826,0.0,0.40784648060798645,1.0
1533,0,-0.0030114687979221344,-0.0,0.018646065145730972,-0.10504656285047531,-1.835229754447937,0.0,-0.2960543930530548,-0.05397326126694679,0.0,0.3935367166996002,-0.05698473006486893,0.0,0.4121827781200409,1.0
1534,0,-0.0030501841101795435,-0.0,0.018616007640957832,-0.10494549572467804,-1.8346565961837769,0.0,-0.30019888281822205,-0.05465347319841385,0.0,0.3981369137763977,-0.0577036589384079,0.0,0.4167529046535492,1.0
1535,0,-0.0030893271323293447,-0.0,0.018586022779345512,-0.10484535992145538,-1.8340742588043213,0.0,-0.3043902814388275,-0.055733513087034225,0.0,0.4029814600944519,-0.058822840452194214,0.0,0.42156746983528137,1.0
1536,0,-0.0031290226615965366,-0.0,0.01855664700269699,-0.10474903136491776,-1.8334786891937256,0.0,-0.3086310923099518,-0.05722876638174057,0.0,0.4080789089202881,-0.06035778671503067,0.0,0.4266355633735657,1.0
1537,0,-0.003169400617480278,-0.0,0.018528413027524948,-0.10465939342975616,-1.832865595817566,0.0,-0.3129238784313202,-0.05915522202849388,0.0,0.4134362041950226,-0.06232462450861931,0.0,0.431964635848999,1.0
1538,0,-0.0032106053549796343,-0.0,0.018501903861761093,-0.10457957535982132,-1.8322306871414185,0.0,-0.31727129220962524,-0.061529625207185745,0.0,0.41905835270881653,-0.06474023312330246,0.0,0.4375602602958679,1.0
1539,0,-0.0032527903094887733,-0.0,0.018477706238627434,-0.1045127883553505,-1.8315693140029907,0.0,-0.32167598605155945,-0.06436940282583237,0.0,0.4249483346939087,-0.06762219220399857,0.0,0.4434260427951813,1.0
1540,0,-0.0032961214892566204,-0.0,0.01845644973218441,-0.10446242988109589,-1.8308767080307007,0.0,-0.32614070177078247,-0.06769266724586487,0.0,0.4311068058013916,-0.07098878920078278,0.0,0.44956326484680176,1.0
