radius_index,radius,interior,theta_count,analytical_dr_theta_mean,analytical_dr_theta_std,analytical_dr_theta_min,analytical_dr_theta_max,analytical_dr_theta_range,analytical_dtheta_theta_mean,analytical_dtheta_theta_std,analytical_dtheta_theta_min,analytical_dtheta_theta_max,analytical_dtheta_theta_range,analytical_speed_theta_mean,analytical_speed_theta_std,analytical_speed_theta_min,analytical_speed_theta_max,analytical_speed_theta_range,discrete_dr_theta_mean,discrete_dr_theta_std,discrete_dr_theta_min,discrete_dr_theta_max,discrete_dr_theta_range,discrete_dtheta_theta_mean,discrete_dtheta_theta_std,discrete_dtheta_theta_min,discrete_dtheta_theta_max,discrete_dtheta_theta_range,discrete_speed_theta_mean,discrete_speed_theta_std,discrete_speed_theta_min,discrete_speed_theta_max,discrete_speed_theta_range
218,1.7048096766220875,1,55,5.19002533053696e-07,2.145320789856286e-07,4.654664314495978e-07,1.4125350732365764e-06,9.470686417869786e-07,0.009811489743947806,5.802979517937473e-06,0.00979555392364844,0.009813873092229421,1.8319168580981787e-05,0.009811489760028295,5.802965781119761e-06,0.009795554025365642,0.009813873103298544,1.8319077932902467e-05,-0.0009059494025223081,0.00927407610226385,-0.0193688231150238,0.023168264642236317,0.04253708775726012,0.009300129616255365,0.008787580743937502,-0.01775185038792248,0.027613501482740294,0.045365351870662776,0.01462621215468054,0.006051209473085402,0.003968485094221779,0.029829033098860782,0.025860548004639
219,1.7094187803675582,1,55,-3.141071166976773e-07,1.2147196551702552e-07,-3.7900906812245535e-07,-8.259897759175934e-08,2.96410090530696e-07,0.009120404471964862,2.8618914600545684e-06,0.009113749124942077,0.009121804320483063,8.055195540986049e-06,0.009120404478181824,2.8618943119945224e-06,0.009113749125316378,0.009121804328333519,8.05520301714116e-06,-0.0009107737360982713,0.009253187150491438,-0.02048334735953262,0.023579720263725405,0.044063067623258026,0.00842150265680117,0.009116305998280793,-0.017916840291030443,0.028316061410091242,0.04623290170112168,0.014242692921147335,0.00613395644320087,0.003720477162270035,0.03028188117595829,0.026561404013688256
220,1.714028130432149,1,55,-1.4679449056856398e-06,5.191508977068633e-07,-1.742774518459366e-06,-4.170149166562549e-07,1.325759601803111e-06,0.008439489212324845,4.991698990217146e-06,0.008434922808424455,0.008463591383694085,2.8668575269629598e-05,0.008439489355959309,4.9916966724644855e-06,0.008434922823197159,0.008463591393967585,2.8668570770426505e-05,-0.0008467686131543655,0.00914072339431011,-0.019663779752734516,0.023961721789635855,0.04362550154237037,0.007605822559284109,0.009437910580882534,-0.017862052471100672,0.02883709580878849,0.04669914827988916,0.0138815354225602,0.0062044748773580636,0.003843940536936965,0.03056946167688162,0.026725521139944655
221,1.718637222810941,1,55,-2.549572129971596e-06,4.744390009932979e-07,-3.5270631948335628e-06,-2.080694045861992e-06,1.4463691489715706e-06,0.007764307755536788,1.0155655599777823e-05,0.007743366575725631,0.007770280201247309,2.6913625521677795e-05,0.007764308188846267,1.0155493812156966e-05,0.007743367378958425,0.007770280570455174,2.691319149674895e-05,-0.0008532551780046983,0.008997920369709448,-0.018856731510361328,0.024314229129403325,0.04317096063976465,0.006914400231737598,0.00972838311638789,-0.017587503461446535,0.029176529246765573,0.04676403270821211,0.013544273624334257,0.006379156369886327,0.003889086291948167,0.03068941395523366,0.026800327663285495
222,1.7232465739101714,1,55,-3.0942301682027735e-06,1.4112950073388855e-06,-4.149398954945299e-06,6.572289565396621e-08,4.215121850599265e-06,0.007073151212952778,3.9659921292915025e-06,0.007065603216091624,0.0070757829268305065,1.0179710738882596e-05,0.007073152030414692,3.96623793442729e-06,0.007065603216397295,0.007075783845719588,1.0180629322292453e-05,-0.000885177743514247,0.008859774410259463,-0.01835509539239953,0.023989270064436324,0.042344365456835856,0.006419897969283521,0.00974691409695683,-0.016559228564564862,0.029334408389071573,0.045893636953636435,0.013191912822147938,0.006439720698960222,0.0030809993641317205,0.03064012712114663,0.027559127757014912
223,1.7278556806107788,1,55,-3.0980347434786695e-06,6.022039281319455e-08,-3.291082097241328e-06,-3.074408488559868e-06,2.1667360868145998e-07,0.0063740436673736574,4.667543840260146e-06,0.006372205956476935,0.006388504059477364,1.6298103000429026e-05,0.006374044420519705,4.667573149670449e-06,0.0063722066984068125,0.00638850490694381,1.6298208536997226e-05,-0.0008879129236265947,0.008772602740069432,-0.018206409017922996,0.023350036530782728,0.041556445548705724,0.005948972144783188,0.009802365223925693,-0.015400704658503605,0.029310708772267016,0.04471141343077062,0.01297465294419025,0.006393900432088863,0.0029823618817159067,0.03042056758122884,0.02743820569951293
224,1.7324647959083816,1,55,6.76826119861206e-07,2.598674668135815e-07,-2.386131315643448e-07,8.836766767765755e-07,1.1222898083409203e-06,0.005727636127793129,8.801450461170363e-06,0.005704412809649516,0.005731459198817718,2.7046389168202192e-05,0.005727636173678017,8.801450506352471e-06,0.005704412878041419,0.0057314592458127004,2.70463677712815e-05,-0.0008259879954471369,0.008735188431024032,-0.018030529244357867,0.022730740477900385,0.040761269722258256,0.0054476117039025515,0.009914282317515684,-0.014115594928365683,0.029105452401281828,0.04322104732964751,0.012855304018877443,0.006300507822727669,0.0036003653202823747,0.030030249803132403,0.026429884482850028
225,1.7370741433592578,1,55,-2.399049154033769e-07,1.3346414658897132e-07,-6.786203429295776e-07,2.0400130903755584e-07,8.826216519671334e-07,0.005034084043168912,3.009563020193263e-06,0.005019012739737963,0.005034827019703998,1.581427996603501e-05,0.005034084050658861,3.0095558743679115e-06,0.005019012785594809,0.005034827025846369,1.5814240251560245e-05,-0.0006729011644187504,0.008694508441068999,-0.017827460303151944,0.022131306195789374,0.03995876649894132,0.004701377254998683,0.00966501031001281,-0.01360660241826876,0.028718606302935677,0.04232520872120444,0.01255187196977633,0.00583207985625302,0.004354215709706948,0.029469149189134024,0.025114933479427077
226,1.741683241846692,1,55,-1.8944759744011388e-06,1.0404579705086884e-07,-2.165573684643107e-06,-1.8071195197984082e-06,3.5845416484469895e-07,0.0043451170617060456,3.6237842091225184e-06,0.004335661448218396,0.004346581041063142,1.0919592844746244e-05,0.004345117475988341,3.6237365278395843e-06,0.0043356619888595925,0.004346581438309889,1.0919449450296284e-05,-0.0005182879896073396,0.008714209604005962,-0.017597193977852695,0.02155184312304658,0.03914903710089927,0.003942129162438515,0.00957746618725795,-0.015560740609304125,0.02815023220200254,0.04371097281130666,0.012317371331986368,0.005635306188140877,0.003522332124113912,0.028737945736471687,0.025215613612357773
227,1.7462925921496153,1,55,-8.398914801427291e-07,4.525021947130223e-07,-1.0130767338927465e-06,3.4508753228337717e-07,1.3581642661761237e-06,0.0037142531512008616,1.3275586059322924e-05,0.00367948924200103,0.0037193231276148268,3.9833885613796676e-05,0.003714253273580658,1.3275626615948187e-05,0.003679489258175215,0.003719323265507024,3.983400733180908e-05,-0.0003545291639072436,0.008799496964060526,-0.017339716137903565,0.02099224444550152,0.038331960583405086,0.003189240003302175,0.00961127732046248,-0.017410248054858152,0.02740023066859873,0.04481047872345688,0.012142910014480198,0.005714409650900689,0.002718425575648778,0.027837764763207977,0.0251193391875592
