sidelen,component,theta_file,theta,Rin,Rout,r_min_plot,r_max_plot,in_plot_window,ptnum,r,P_x,P_y,P_z,u_exact,u_numerical,u_error,exact_vx,exact_vy,exact_vz,numerical_vx,numerical_vy,numerical_vz,position_delta
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,40,1.08016037940979,1.08016037940979,0.0,2.6708084632787177e-09,2.218199626517294e-07,-0.04159052455046567,-0.041590746370428325,2.1937241001523944e-07,0.0,0.9898685812950134,-0.041590526700019836,0.0,0.8693484663963318,5.341616926557435e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,41,1.0821642875671387,1.0821642875671387,0.0,3.348100685585109e-09,-9.492101028369562e-07,-0.04056305548658462,-0.04056210627648178,-9.521947959001409e-07,0.0,0.9647046327590942,-0.040563058108091354,0.0,0.8473165035247803,6.696201371170218e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,42,1.0841683149337769,1.0841683149337769,0.0,2.4604100978820043e-09,-1.6544233409278773e-06,-0.03943466953392588,-0.03943301511058495,-1.6565580835958826e-06,0.0,0.9406644701957703,-0.03943467140197754,0.0,0.8231483101844788,4.9208201957640085e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,43,1.086172342300415,1.086172342300415,0.0,1.5121437435539065e-09,1.9376837196786064e-06,-0.03820544370342548,-0.03820738138714516,1.9364060790394433e-06,0.0,0.917728841304779,-0.03820544481277466,0.0,0.7968451380729675,3.024287487107813e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,44,1.0881763696670532,1.0881763696670532,0.0,4.832910183161232e-10,5.850188730369911e-08,-0.03783446888523349,-0.037834527387120793,5.810404246631151e-08,0.0,0.8957860469818115,-0.037834469228982925,0.0,0.7739850282669067,9.665820366322464e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,45,1.0901803970336914,1.0901803970336914,0.0,2.7188490347995753e-10,-5.215323963699034e-07,-0.03866951148687407,-0.0386689899544777,-5.217505645305209e-07,0.0,0.87479168176651,-0.038669511675834656,0.0,0.7576776742935181,5.437698069599151e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,46,1.0921844244003296,1.0921844244003296,0.0,6.047878864379186e-11,-8.058685360730698e-08,-0.03955546389883843,-0.039555383311984826,-8.063418022175028e-08,0.0,0.8546697497367859,-0.03955546393990517,0.0,0.741622805595398,1.2095757728758372e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,47,1.0941883325576782,1.0941883325576782,0.0,4.5203468745924624e-10,1.307093115769285e-06,-0.040492269841986214,-0.040493576935101985,1.3067480040263035e-06,0.0,0.835372269153595,-0.04049227014183998,0.0,0.7258214950561523,9.040693749184925e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,48,1.0961923599243164,1.0961923599243164,0.0,-4.179536161608155e-10,-3.679084462828171e-07,-0.04148003486057821,-0.04147966695213193,-3.675970106087334e-07,0.0,0.816821277141571,-0.041480034589767456,0.0,0.7102718353271484,8.35907232321631e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,49,1.0981963872909546,1.0981963872909546,0.0,-6.293597309969812e-10,-1.3072058982005594e-06,-0.04251871297848344,-0.04251740577258524,-1.3067480040263035e-06,0.0,0.7989988923072815,-0.04251871258020401,0.0,0.6949746012687683,1.2587194619939623e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,50,1.1002004146575928,1.1002004146575928,0.0,1.5647654283412749e-09,-1.0323809223429628e-07,-0.04360830314611583,-0.043608199908023594,-1.0435011432718966e-07,0.0,0.781872570514679,-0.04360830411314964,0.0,0.6799300312995911,3.1295308566825497e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,51,1.102204442024231,1.102204442024231,0.0,6.947771802323643e-10,1.9665335119810436e-06,-0.04474879759346218,-0.044750764126974166,1.966051058843732e-06,0.0,0.7653705477714539,-0.04474879801273346,0.0,0.6651379466056824,1.3895543604647287e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,52,1.1042084693908691,1.1042084693908691,0.0,4.833710653961987e-10,8.807705421647544e-08,-0.04594020517002466,-0.04594029324707888,8.774896542718125e-08,0.0,0.749483048915863,-0.045940205454826355,0.0,0.650598406791687,9.667421307923973e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,53,1.1062123775482178,1.1062123775482178,0.0,-1.3659587905223702e-09,-1.645464985450359e-07,-0.047182441543474285,-0.04718227699697574,-1.6363995314350177e-07,0.0,0.7341595888137817,-0.047182440757751465,0.0,0.6363122463226318,2.7319175810447405e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,54,1.108216404914856,1.108216404914856,0.0,-1.577364905358536e-09,-4.84557687289552e-08,-0.04847566499470235,-0.04847561653893362,-4.7431871763592426e-08,0.0,0.7193639278411865,-0.04847566410899162,0.0,0.6222777962684631,3.154729810717072e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,55,1.1102204322814941,1.1102204322814941,0.0,-2.118062170097801e-09,1.3504631969077025e-06,-0.049819794713039635,-0.04982114517623654,1.3518083505914547e-06,0.0,0.7050865292549133,-0.04981979355216026,0.0,0.608495831489563,4.236124340195602e-09
