theta_file,theta,rin,rout,scope,sample_count,position_max_delta,vector_mean_error,vector_rmse,vector_max_error,relative_vector_rmse,mae_dr,rmse_dr,max_abs_dr,mae_dtheta,rmse_dtheta,max_abs_dtheta
1.75,1.7453292608261108,0.7,3.0,interior,412,0.0010232583571414215,0.01243368795967108,0.015076850934619615,0.03653020753750663,0.10515548241995272,0.005437628253994074,0.007497091836519411,0.025092255113856158,0.010424009516933517,0.013080712828417815,0.03604717877336333
1.83,1.8325955867767334,0.7,3.0,all,500,0.0008222942063408319,0.18065623130220684,0.8056992509694073,8.586658208734564,0.9214669606382957,0.01233137891212683,0.022009906032369804,0.11505093905985317,0.17741985526926196,0.8053985640967521,8.586603018124412
1.83,1.8325955867767334,0.7,3.0,interior,412,0.0008222942063408319,0.012756635064378722,0.015598147017774625,0.05540006997574155,0.10879224216261711,0.006666555039107645,0.009041186311276804,0.027117343789635432,0.009479588533658963,0.012710591664941973,0.05450174978021727
1.92,1.9198620319366455,0.7,3.0,all,500,0.0014621281786716274,0.17685809495374147,0.8062654482539443,8.603067974297396,0.9221184050284041,0.012884896250865892,0.023683405950545685,0.09848591965134385,0.1717241288165415,0.80591753258675,8.603040058560694
1.92,1.9198620319366455,0.7,3.0,interior,412,0.0014621281786716274,0.010727568517439326,0.013328311623314252,0.0364160032825105,0.09296030725197438,0.007491504963012625,0.011191060124452111,0.03403114871286583,0.005975079341814906,0.007239065134329965,0.018096683789949115
2.01,2.0071284770965576,0.7,3.0,all,500,0.00031069721381997266,0.17197423138035864,0.8000552271670157,8.589782454972362,0.9150139040433151,0.01060670057997383,0.017673593400250934,0.09770388673567224,0.16847885967023615,0.7998599943825092,8.589780702480484
2.01,2.0071284770965576,0.7,3.0,interior,412,0.00031069721381997266,0.008908078087037054,0.010746163218793582,0.025664265104403818,0.07495098138688028,0.0063829335740718356,0.008281438640119295,0.023413686344508043,0.00533875106138291,0.006848196695108221,0.022024482855487804
2.09,2.094395160675049,0.7,3.0,all,500,0.0013159602240342446,0.17682357200738477,0.805059927648617,8.61151659134835,0.9207411379858108,0.00809457190785555,0.011998134264602464,0.05047206403368191,0.1736527483024912,0.8049705161555701,8.611516272723332
2.09,2.094395160675049,0.7,3.0,interior,412,0.0013159602240342446,0.01046586316784459,0.014150374386850956,0.06399356740576544,0.0986940587198641,0.006260979636121499,0.008591581354174144,0.02845945206930223,0.007300606761093719,0.011243568166852319,0.06378828099746742
2.18,2.181661367416382,0.7,3.0,all,500,0.001187990807869954,0.17807206034018128,0.8015677634748917,8.563583615752167,0.9167484809961334,0.01602899140761606,0.031129432671068824,0.14083055652222903,0.17354831241684412,0.8009630689761652,8.563579923202118
2.18,2.181661367416382,0.7,3.0,interior,412,0.001187990807869954,0.010793223904162454,0.01391023114718672,0.052756586174037196,0.09701930352875159,0.00676962245566919,0.00992941802571572,0.03134194693855853,0.0070450136540228595,0.009741724089644261,0.04490909041721647
2.27,2.268927812576294,0.7,3.0,all,500,0.0005845478657294228,0.17195969759552643,0.7941534819704722,8.560440103485632,0.9082638559025582,0.007532362486057177,0.01131309210522813,0.05581358201229017,0.16910047058101157,0.7940728977070328,8.560424303449459
2.27,2.268927812576294,0.7,3.0,interior,412,0.0005845478657294228,0.01317382739748325,0.01568036735603311,0.04057121538096307,0.10936518349464448,0.006026410009756814,0.007497132993986881,0.021329114771817544,0.009861247000332052,0.013771961272477573,0.03969567142694072
2.36,2.356194496154785,0.7,3.0,all,500,0.0014801973197025983,0.1819242849463801,0.8013920614425445,8.55094852578334,0.9165442472847564,0.014445424642329278,0.027702487621767476,0.1448106709246404,0.17827281308106807,0.8009131090965467,8.55094388038619
2.36,2.356194496154785,0.7,3.0,interior,412,0.0014801973197025983,0.011604958503687509,0.014392677696330871,0.04768252369451486,0.100383843926359,0.006970518210740296,0.008667470729054105,0.018098093826600766,0.007992546514000694,0.011490175039199812,0.04642977964643469
2.44,2.4434609413146973,0.7,3.0,all,500,0.0005848055403989856,0.17869563694927798,0.807778456769126,8.608216022869854,0.923847128783305,0.010154582910571261,0.015471517238054821,0.06152396827507832,0.17518153636422426,0.8076302788867337,8.608105106607251
2.44,2.4434609413146973,0.7,3.0,interior,412,0.0005848055403989856,0.01168141933806554,0.014229697106124308,0.03364278212315033,0.09924720786410338,0.0068652843002448595,0.009393241254844772,0.026167032041217227,0.008193463017144026,0.010688839902455491,0.0282386097362309
2.53,2.5307273864746094,0.7,3.0,all,500,0.0011879238003248067,0.18317232251244822,0.8102845517857665,8.600356420147467,0.9267140855490492,0.013729605006010153,0.026149534172368535,0.11573507340273849,0.17887743854289812,0.8098624924795744,8.600356248109312
2.53,2.5307273864746094,0.7,3.0,interior,412,0.0011879238003248067,0.009623247739604544,0.011267600274573748,0.029679628367495485,0.07858734167943683,0.006147236093529646,0.007900406270274348,0.02230021379654457,0.006472060774815191,0.008033828272510197,0.019777896219076385
2.62,2.6179935932159424,0.7,3.0,all,500,0.0013159602240342446,0.18271922862338807,0.8131315351527553,8.62704509569061,0.9299693917595717,0.013663818726806904,0.026148766176854445,0.11855952173829817,0.17846090153904634,0.8127109790616247,8.627010068096345
2.62,2.6179935932159424,0.7,3.0,interior,412,0.0013159602240342446,0.010432196811439278,0.01351465256224523,0.0391085126575236,0.09426005567921233,0.005796674868399325,0.008279011576342138,0.032957340102486916,0.006812273536981356,0.010681938082435902,0.03775018315043144
2.71,2.7052602767944336,0.7,3.0,all,500,0.00031069721381997266,0.18358696565907465,0.813960066935107,8.626678745102796,0.930916589949376,0.011317943915166929,0.020104470144655506,0.07795623999563014,0.18029576380783183,0.8137117430916223,8.6266127117304
2.71,2.7052602767944336,0.7,3.0,interior,412,0.00031069721381997266,0.009595134038798553,0.012296260163550276,0.04500243230695566,0.08576254003756217,0.005263943480481455,0.008558656256939254,0.04428354482809183,0.00680286980768582,0.008828783443106303,0.03182218903188527
2.79,2.7925267219543457,0.7,3.0,all,500,0.0014621281786716274,0.18104654501720757,0.8068524810241773,8.57996772736745,0.9227895396183465,0.012325704772626666,0.026166944814010322,0.13841625426311577,0.17701503757170095,0.806428060730758,8.57994887516425
2.79,2.7925267219543457,0.7,3.0,interior,412,0.0014621281786716274,0.009315296508238735,0.010783339184706892,0.03164541125026087,0.0752098551176182,0.005336892178900404,0.006991210274852765,0.02169135554570247,0.0060135421331965295,0.008209956325415393,0.028060595188259596
2.88,2.879793167114258,0.7,3.0,all,500,0.0008223108378978789,0.16710341850976096,0.7975086629299836,8.572879369925433,0.9120990765807794,0.009446349993033919,0.017533664075435672,0.08980759481827079,0.16384503044894275,0.797315896036483,8.572877876147107
2.88,2.879793167114258,0.7,3.0,interior,412,0.0008223108378978789,0.008082373199684089,0.009063061899847284,0.02266212536386053,0.06321152983540389,0.00490400078343097,0.00666409692418772,0.022312787726903042,0.005111528257529843,0.006142385789373314,0.015764678926953157
2.97,2.96705961227417,0.7,3.0,all,500,0.0010234938401418358,0.1815232483019251,0.8076135903335137,8.581744350833238,0.9236603438378603,0.01460821743542521,0.025510980501413354,0.1225240117650032,0.1770907418616025,0.8072105680460614,8.581706812502857
2.97,2.96705961227417,0.7,3.0,interior,412,0.0010234938401418358,0.0112946356072976,0.01456370086926339,0.04466215731693788,0.10157694718828977,0.0074112789898634936,0.010095491294546356,0.029390270865123382,0.007259209601679406,0.010496782294166241,0.04320701168345825
3.05,3.054326057434082,0.7,3.0,all,500,0.0014071939640772813,0.1784891709745517,0.8044823799646207,8.60278425637433,0.9200788390986381,0.012603800630938904,0.020390485853490643,0.07810391612825808,0.17423702210572417,0.8042239288657104,8.602736096505007
3.05,3.054326057434082,0.7,3.0,interior,412,0.0014071939640772813,0.014019038011784975,0.016306848891998266,0.04175382729135785,0.11373421676366943,0.008439923875278772,0.01054506850156381,0.022434058741557312,0.009834394261522028,0.012438442470172537,0.035214984053054676
3.14,3.141592502593994,0.7,3.0,all,500,2.7032768912249594e-08,0.16761238264262307,0.7890532604857785,8.584741158939375,0.9024312594460898,0.008092220471884827,0.015674456465192433,0.10107869567860339,0.16478422200561021,0.7888975594446713,8.584740295433107
3.14,3.141592502593994,0.7,3.0,interior,412,2.7032768912249594e-08,0.01370608011644248,0.015654209748936092,0.03271752180014445,0.1091827733938489,0.0057024871441928885,0.007577079434443762,0.021309549938185856,0.011118045892543194,0.013698253542251846,0.03271171441235987
3.32,3.3161253929138184,0.7,3.0,all,500,0.0010234938401418358,0.17755866865422115,0.805305792967067,8.595280888714617,0.9210187827129501,0.015073249202194737,0.024095891197881452,0.10246076252489689,0.17150517901613757,0.8049452206291408,8.595277453633386
